block_size,total_threads,grid_size,max_tasks_per_warp,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high,chaselev_med,chaselev_err_low,chaselev_err_high
32,1024,32,14400000,426.095000,1.077000,.432000,448.562000,2.789000,1.029000,614.230000,1.830000,.941000
32,2048,64,7200000,214.434500,.230500,.293500,282.870500,1.448500,1.004500,308.586000,.495000,.588000
32,4096,128,3600000,108.662500,.178500,.177500,244.151500,1.301500,.631500,156.521500,.339500,.153500
32,8192,256,1800000,56.324500,.096500,.025500,243.032000,6.711000,1.178000,84.210500,.193500,.036500
32,16384,512,900000,29.744000,.014000,.020000,256.982000,2.626000,3.076000,45.349000,.066000,.035000
32,32768,1024,450000,16.241500,.014500,.004500,428.890500,16.038500,6.184500,24.981000,.038000,.052000
32,65536,2048,225000,9.998500,.010500,.012500,676.673000,21.788000,2.820000,14.783500,.057500,.026500
32,131072,4096,112500,7.870000,.014000,.012000,1086.530000,5.867000,5.517000,10.238000,.061000,.017000
32,262144,8192,56250,7.778000,.026000,.008000,0,0,0,10.185000,.024000,.031000
64,1024,16,14400000,434.995500,.545500,.463500,460.790000,1.144000,.554000,649.425500,1.629500,.954500
64,2048,32,7200000,221.284000,.305000,.311000,289.459000,.132000,.238000,330.060000,.657000,.553000
64,4096,64,3600000,111.267500,.237500,.064500,241.257000,.243000,.272000,165.973500,.391500,.223500
64,8192,128,1800000,56.333000,.041000,.029000,244.823500,.332500,.360500,84.323500,.185500,.075500
64,16384,256,900000,29.721000,.028000,.028000,253.912000,3.957000,5.611000,45.383500,.094500,.046500
64,32768,512,450000,16.220500,.004500,.014500,422.623000,9.948000,4.179000,25.026500,.037500,.046500
64,65536,1024,225000,9.988000,.015000,.004000,678.638000,29.795000,2.085000,14.764000,.037000,.030000
64,131072,2048,112500,7.876000,.009000,.016000,1088.120000,1.976000,2.107000,10.226500,.041500,.044500
64,262144,4096,56250,8.627000,.032000,.022000,0,0,0,8.926500,.046500,.023500
128,1024,8,14400000,451.476500,.367500,.522500,480.401000,1.177000,2.083000,678.672500,2.890500,2.534500
128,2048,16,7200000,228.228000,.814000,.368000,293.126500,.419500,.244500,344.357000,.611000,.544000
128,4096,32,3600000,116.608000,.163000,.147000,256.252000,2.334000,.253000,175.514500,.088500,.217500
128,8192,64,1800000,58.488500,.074500,.028500,247.948500,1.736500,1.660500,88.786000,.117000,.356000
128,16384,128,900000,29.746500,.013500,.023500,260.269500,1.754500,1.861500,45.402000,.054000,.081000
128,32768,256,450000,16.229500,.005500,.008500,417.542000,4.441000,4.135000,24.994000,.044000,.051000
128,65536,512,225000,9.970500,.004500,.010500,694.425500,3.647500,10.706500,14.741000,.064000,.040000
128,131072,1024,112500,7.876500,.009500,.011500,1088.634500,1.651500,1.421500,10.207000,.041000,.022000
128,262144,2048,56250,8.596000,.013000,.012000,0,0,0,8.900500,.035500,.054500
256,1024,4,14400000,477.371500,3.059500,1.227500,495.143500,1.505500,2.563500,720.534000,2.534000,2.813000
256,2048,8,7200000,241.204500,.644500,.683500,291.956500,3.914500,4.403500,363.375500,1.012500,1.128500
256,4096,16,3600000,122.373500,.482500,.520500,273.585500,9.547500,1.382500,185.694000,.524000,.851000
256,8192,32,1800000,62.492500,.094500,.111500,265.555000,3.185000,3.232000,94.842000,.192000,.223000
256,16384,64,900000,31.556000,.041000,.038000,258.922500,2.190500,2.202500,48.152000,.035000,.057000
256,32768,128,450000,16.242000,.009000,.008000,410.613500,.429500,.308500,25.001500,.024500,.068500
256,65536,256,225000,9.974000,.009000,.010000,690.552000,10.049000,2.649000,14.691500,.032500,.044500
256,131072,512,112500,7.887500,.005500,.016500,1102.715000,2.154000,2.319000,10.194500,.026500,.060500
256,262144,1024,56250,8.609500,.016500,.008500,0,0,0,8.904500,.029500,.024500
