block_size,total_threads,grid_size,max_tasks_per_warp,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high,chaselev_med,chaselev_err_low,chaselev_err_high
32,1024,32,14400000,2657.397500,3.201500,2.121500,2480.165500,1.153500,1.527500,2916.299000,5.894000,4.021000
32,2048,64,7200000,1332.827000,1.153000,1.495000,1243.560000,1.323000,1.021000,1456.848000,2.198000,.708000
32,4096,128,3600000,665.641500,.418500,.172500,638.768500,.175500,.261500,729.550500,.538500,.574500
32,8192,256,1800000,332.685500,.322500,.178500,402.132500,.349500,.136500,366.536000,.315000,.378000
32,16384,512,900000,170.285500,.095500,.089500,400.940500,.310500,.136500,189.166500,.178500,.153500
32,32768,1024,450000,123.824500,.501500,.254500,676.268000,1.740000,3.191000,128.954500,.304500,.132500
32,65536,2048,225000,123.455000,.065000,.095000,1232.700000,13.700000,1.988000,125.315500,.170500,.164500
32,131072,4096,112500,166.888500,.258500,.244500,1933.684500,1.810500,.529500,148.543000,.287000,.201000
32,262144,8192,56250,172.028000,.208000,.053000,1979.467500,2.153500,.562500,152.315000,.240000,.160000
64,1024,16,14400000,2649.306500,.759500,2.997500,2475.615500,.805500,.927500,2914.947500,1.610500,3.032500
64,2048,32,7200000,1331.742500,1.171500,.926500,1245.907500,.251500,.685500,1466.677500,2.195500,1.711500
64,4096,64,3600000,665.566000,.310000,.590000,638.719500,.291500,.195500,734.223500,.391500,.690500
64,8192,128,1800000,332.076500,.070500,.102500,399.075500,.193500,.145500,366.581500,.667500,.338500
64,16384,256,900000,169.096500,.087500,.051500,398.288000,.471000,.463000,189.323500,.143500,.085500
64,32768,512,450000,131.603000,.087000,.052000,648.789000,17.444000,21.441000,136.116500,.186500,.436500
64,65536,1024,225000,128.324000,.149000,.117000,1218.259500,16.032500,1.503500,131.011000,.318000,.072000
64,131072,2048,112500,171.868500,1.342500,1.115500,1951.643000,3.244000,.935000,154.165000,.415000,.277000
64,262144,4096,56250,235.830000,.213000,.078000,2276.232000,3.214000,1.592000,209.443000,.385000,.046000
128,1024,8,14400000,2736.176000,1.385000,.736000,2562.841000,4.842000,2.235000,3019.499000,3.282000,2.146000
128,2048,16,7200000,1365.107000,.306000,1.152000,1283.877000,8.876000,.333000,1497.650500,4.495500,3.404500
128,4096,32,3600000,681.753000,.334000,.492000,653.228500,.305500,.120500,752.105500,.596500,.446500
128,8192,64,1800000,338.951500,.101500,.119500,417.844000,5.049000,.507000,375.812500,.311500,.320500
128,16384,128,900000,170.222000,.028000,.042000,393.253500,.290500,.241500,189.358000,.186000,.105000
128,32768,256,450000,124.844000,.231000,.092000,669.919000,.889000,.489000,127.003000,.102000,.143000
128,65536,512,225000,123.201000,.085000,.161000,1237.050000,1.710000,.766000,125.512500,.046500,.013500
128,131072,1024,112500,169.050500,.159500,.090500,1961.492500,1.329500,.818500,149.490500,.238500,.145500
128,262144,2048,56250,235.474000,.286000,.195000,2338.877500,1.606500,2.452500,205.894500,.197500,.267500
256,1024,4,14400000,3194.216000,3.681000,2.165000,3029.319500,5.589500,4.558500,3437.337000,8.045000,3.816000
256,2048,8,7200000,1595.739000,.974000,1.471000,1518.212000,2.391000,12.691000,1723.555500,2.820500,12.835500
256,4096,16,3600000,800.992000,.289000,.173000,770.167500,.395500,.297500,865.061000,.545000,.160000
256,8192,32,1800000,401.484500,.240500,.065500,459.693500,.541500,.463500,434.087000,.397000,.144000
256,16384,64,900000,200.844000,.096000,.068000,428.426000,.574000,.301000,217.876500,.156500,.114500
256,32768,128,450000,121.848000,1.322000,.260000,668.851500,9.784500,1.728500,128.442000,1.622000,1.456000
256,65536,256,225000,123.516500,.024500,.023500,1223.762500,10.347500,21.288500,125.678500,.272500,.645500
256,131072,512,112500,169.264000,.228000,.160000,1981.861000,2.376000,.757000,149.075000,.158000,.405000
256,262144,1024,56250,235.866500,.242500,.154500,2340.246000,.644000,1.870000,206.336000,.180000,.384000
