block_size,total_workers,grid_size,max_tasks_per_block,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high
32,16,16,1600000,1118.309000,5.728000,1.515000,1165.372000,3.619000,40.558000
32,32,32,800000,564.522000,.814000,1.638000,1010.463500,89.826500,1.381500
32,64,64,400000,280.643500,.299500,.459500,811.413500,7.665500,7.902500
32,128,128,200000,140.905500,.162500,.153500,785.245000,.105000,1.347000
32,256,256,100000,71.886000,.109000,.068000,792.527500,1.899500,6.687500
32,512,512,50000,37.664500,.043500,.017500,908.030500,1.636500,12.596500
32,1024,1024,25000,20.373000,.038000,.008000,1548.590500,28.541500,19.518500
32,2048,2048,12500,11.398500,.007500,.005500,2450.103000,22.847000,56.008000
32,4096,4096,6250,6.805500,.004500,.007500,0,0,0
32,8192,8192,3125,6.780000,.006000,.010000,0,0,0
64,16,16,1600000,1020.440000,.186000,1.516000,1120.274000,.306000,6.578000
64,32,32,800000,513.525000,.963000,1.311000,899.191000,.283000,.293000
64,64,64,400000,255.071000,.105000,.067000,802.444500,.101500,.081500
64,128,128,200000,127.953500,.327500,.090500,788.817500,.191500,.056500
64,256,256,100000,67.838000,.063000,.060000,796.384000,.118000,.038000
64,512,512,50000,36.891000,.023000,.021000,932.272000,.089000,.098000
64,1024,1024,25000,20.355500,.007500,.018500,1606.363500,.127500,.057500
64,2048,2048,12500,11.597000,.009000,.011000,2515.873500,.630500,.763500
64,4096,4096,6250,8.665000,.012000,.006000,0,0,0
128,16,16,1600000,1020.340000,2.199000,2.633000,1174.428500,.419500,.257500
128,32,32,800000,513.214000,.940000,.327000,1006.294500,.579500,9.249500
128,64,64,400000,256.308500,.366500,.272500,817.685500,.037500,.110500
128,128,128,200000,128.583000,.089000,.053000,812.070000,.092000,.050000
128,256,256,100000,68.793000,.026000,.045000,792.410000,.142000,38.863000
128,512,512,50000,37.900500,.011500,.015500,929.934000,38.892000,26.383000
128,1024,1024,25000,21.559500,.010500,.023500,1571.800000,.109000,.103000
128,2048,2048,12500,15.633500,.008500,.008500,2114.209500,.215500,.118500
256,16,16,1600000,1069.957000,.360000,1.571000,1179.140500,23.088500,22.919500
256,32,32,800000,536.402000,.928000,.876000,1020.604500,.373500,.320500
256,64,64,400000,268.171500,.501500,.168500,826.263000,19.659000,.138000
256,128,128,200000,134.501000,.288000,.238000,791.529000,.127000,.101000
256,256,256,100000,73.472000,.027000,.048000,792.337500,.135500,.093500
256,512,512,50000,42.075000,.020000,.012000,961.470000,.115000,.087000
256,1024,1024,25000,30.533500,.014500,.007500,1276.207000,.115000,.067000
