compute_iters,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high
64,12.082500,.004500,.002500,.668500,.005500,.002500
128,12.151500,.008500,.004500,.701000,.004000,.004000
256,12.285000,.004000,.007000,.781000,.003000,.006000
512,12.554000,.008000,.009000,1.002000,.006000,.003000
1024,13.108500,.005500,.002500,1.577500,.015500,.015500
2048,14.248000,.001000,.004000,2.786000,.025000,.044000
4096,16.681500,.005500,.001500,5.241500,.074500,.060500
8192,22.031500,.006500,.006500,10.239500,.160500,.157500
16384,33.537000,.010000,.012000,19.909000,.247000,.220000
32768,57.998000,.021000,.019000,39.705000,.297000,.944000
