n,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_block_cutoff_med,GTAP_block_cutoff_err_low,GTAP_block_cutoff_err_high
12,.238500,.005500,.003500,.174500,.002500,.000500,.165500,.002500,.003500
13,.252500,.004500,.005500,.210000,.002000,.002000,.182000,.002000,.002000
14,.274500,.008500,.003500,.271000,.001000,.001000,.198500,.004500,.002500
15,.292000,.003000,.008000,.383000,.003000,.004000,.215500,.001500,.002500
16,.333000,.004000,.006000,.597500,.003500,.002500,.269000,.002000,.002000
17,.405500,.005500,.003500,1.018000,.003000,.003000,.359500,.001500,.002500
18,.541000,.008000,.006000,1.841500,.001500,.000500,.526000,.001000,.005000
19,.843500,.042500,.014500,3.475000,.003000,.001000,.859500,.002500,.004500
20,1.385000,.042000,.030000,6.718500,.005500,.002500,1.524000,.004000,.005000
21,2.369000,.051000,.168000,13.196500,.007500,.005500,2.839500,.003500,.003500
22,4.438500,.114500,.364500,26.120000,.003000,.010000,5.466000,.006000,.003000
23,8.706000,.274000,.589000,51.944000,.014000,.017000,10.695000,.004000,.008000
24,16.925500,.546500,1.174500,103.576000,.019000,.019000,21.157500,.006500,.011500
25,32.019500,.391500,1.218500,206.835500,.073500,.041500,42.064500,.003500,.005500
26,63.178500,.333500,2.264500,413.094500,.141500,.050500,83.905500,.018500,.006500
27,125.695500,.619500,1.950500,825.901000,.110000,.119000,167.515000,.066000,.038000
28,249.817000,.591000,1.657000,1650.970000,.595000,.282000,334.736500,.031500,.035500
