n,GTAP_med,GTAP_err_low,GTAP_err_high,THRUST_med,THRUST_err_low,THRUST_err_high,OMP_med,OMP_err_low,OMP_err_high,CILK_med,CILK_err_low,CILK_err_high,DYNASOAR_med,DYNASOAR_err_low,DYNASOAR_err_high,SEQ_med,SEQ_err_low,SEQ_err_high,Speedup_med(OMP/GTAP),Speedup_med(CILK/GTAP),Speedup_med(DYNASOAR/GTAP),Speedup_med(GTAP/THRUST)
100000,2.389000,.007000,.031000,.269500,.001500,.000500,.855000,.065000,.018000,.836000,.015000,.059000,56.688343,.322563,.639076,0,0,0,.357890,.349937,23.728900,8.864564
200000,2.709500,.009500,.005500,.270000,.002000,.003000,.976000,.056000,.049000,1.244000,.053000,.011000,67.349258,.553993,.411141,0,0,0,.360214,.459125,24.856710,10.035185
500000,4.862000,.102000,.044000,.429000,.002000,.003000,1.191000,.043000,.048000,1.984500,.072500,.148500,91.773415,.445794,.415237,0,0,0,.244960,.408165,18.875650,11.333333
1000000,5.411500,.102500,.054500,.446500,.006500,.003500,1.709000,.051000,.045000,2.766000,.089000,.095000,105.933201,.790600,.725605,0,0,0,.315808,.511133,19.575570,12.119820
2000000,5.908500,.066500,.067500,.469000,.006000,.006000,2.737000,.053000,.054000,3.554000,.063000,.065000,123.403782,.852375,1.475033,0,0,0,.463230,.601506,20.885805,12.598081
5000000,6.959500,.123500,.050500,.557000,.004000,.002000,6.015500,.095500,.204500,6.399500,.039500,.026500,144.586044,.517227,.563584,0,0,0,.864358,.919534,20.775349,12.494614
10000000,9.609000,.121000,.069000,.725500,.008500,.007500,11.651000,.339000,.156000,11.556500,.062500,.033500,168.739357,.600792,.528786,0,0,0,1.212509,1.202674,17.560553,13.244658
20000000,16.638500,.034500,.111500,1.059500,.014500,.014500,23.104500,.808500,.618500,21.497000,.084000,.055000,213.929825,.801514,.446594,0,0,0,1.388616,1.292003,12.857518,15.704105
50000000,35.484500,.119500,.352500,2.037000,.014000,.014000,56.747000,.736000,1.116000,54.812000,.067000,.107000,275.873108,1.122284,1.335052,0,0,0,1.599205,1.544674,7.774467,17.419980
100000000,79.029000,.194000,.276000,3.616000,.006000,.021000,114.991000,1.535000,1.143000,109.537500,.049500,.095500,411.841049,2.137344,2.199417,0,0,0,1.455048,1.386041,5.211264,21.855365
200000000,152.347500,.348500,.261500,6.764000,.013000,.014000,241.623000,6.614000,6.524000,228.744000,.199000,8.797000,598.005340,2.174163,2.443452,0,0,0,1.585999,1.501462,3.925271,22.523285
500000000,422.407500,.277500,.308500,16.144500,.021500,.039500,639.738000,23.847000,29.733000,599.131000,.717000,.383000,1191.952515,7.499146,9.556274,0,0,0,1.514504,1.418372,2.821807,26.164173
1000000000,825.583000,.395000,.172000,31.769000,.113000,.066000,1294.446000,16.548000,21.981000,1243.088500,2.233500,1.144500,1962.223328,9.080628,4.799987,0,0,0,1.567917,1.505709,2.376772,25.987062
