n,GTAP_med,GTAP_err_low,GTAP_err_high,OMP_med,OMP_err_low,OMP_err_high,CILK_med,CILK_err_low,CILK_err_high,DYNASOAR_med,DYNASOAR_err_low,DYNASOAR_err_high,SEQ_med,SEQ_err_low,SEQ_err_high,Speedup_med(OMP/GTAP),Speedup_med(CILK/GTAP),Speedup_med(DYNASOAR/GTAP)
2,.057000,.001000,.002000,.006000,.001000,.001000,0,0,0,.709555,.009616,.176594,0,0,0,.105263,0,12.448333
4,.080000,.003000,.001000,.042500,.003500,.004500,.000500,.000500,.000500,1.119413,.021999,.248818,0,0,0,.531250,.006250,13.992662
6,.098500,.001500,.002500,.117500,.017500,.032500,.001000,0,0,1.448967,.017632,.276673,0,0,0,1.192893,.010152,14.710324
8,.122000,.003000,.001000,.343500,.116500,.020500,.001000,0,0,1.966842,.086289,.240785,0,0,0,2.815573,.008196,16.121655
10,.154500,.004500,.003500,.380500,.015500,.031500,.002000,0,0,2.402396,.011984,.013840,.000500,.000500,.000500,2.462783,.012944,15.549488
12,.191000,.008000,.005000,1.011000,.354000,.091000,.004000,0,0,2.872670,.023504,.045872,.001500,.000500,.000500,5.293193,.020942,15.040157
14,.222000,.008000,.006000,1.156000,.230000,.123000,.010000,0,0,3.364880,.019232,.416579,.002000,.001000,0,5.207207,.045045,15.157117
16,.251500,.008500,.007500,1.132000,.313000,.210000,.026000,.001000,0,3.880979,.053248,.622595,.002000,0,0,4.500994,.103379,15.431328
18,.282000,.005000,.014000,.771000,.062000,.038000,.065000,0,0,4.415702,.040288,.661379,.005000,0,0,2.734042,.230496,15.658517
20,.312500,.004500,.004500,.759500,.037500,.033500,.151500,.005500,.004500,4.922952,.045680,.039377,.012000,0,0,2.430400,.484800,15.753446
22,.344000,.003000,.003000,1.277500,.350500,.074500,.238500,.010500,.005500,5.566108,.095873,.458370,.031000,0,.001000,3.713662,.693313,16.180546
24,.381500,.010500,.009500,1.499000,.231000,.101000,.415000,.056000,.018000,6.189966,.048943,.036912,.081000,0,.001000,3.929226,1.087811,16.225336
26,.446500,.007500,.003500,1.372000,.137000,.054000,.609000,.015000,.031000,7.195283,.177041,.541971,.212000,.001000,.001000,3.072788,1.363941,16.114855
28,.613000,.007000,.003000,2.244500,.269500,.869500,.950500,.031500,.036500,8.463226,.100689,.080688,.966000,.411000,.003000,3.661500,1.550570,13.806241
30,1.037000,.013000,.007000,4.807000,1.161000,1.184000,1.456500,.050500,.079500,11.317351,.068751,.883765,2.532000,.004000,.010000,4.635486,1.404532,10.913549
32,2.137500,.009500,.005500,7.931000,.412000,4.290000,2.251000,.054000,.092000,18.207082,.160850,.403985,6.624000,1.378000,.015000,3.710409,1.053099,8.517933
34,5.022500,.010500,.017500,17.144000,.373000,.856000,3.384000,.043000,.050000,36.081472,.057008,.117777,9.924500,.028500,.022500,3.413439,.673768,7.183966
36,12.595000,.022000,.013000,40.279000,.363000,.880000,6.693000,.037000,.051000,91.630707,.209908,.355888,26.012500,.144500,9.838500,3.198015,.531401,7.275165
38,32.478500,.022500,.015500,97.417500,.490500,.455500,15.177500,.114500,.038500,252.659591,.615600,.582078,67.824500,.099500,.175500,2.999445,.467309,7.779287
40,84.794000,.022000,.036000,245.123000,2.851000,1.441000,37.230500,.076500,.350500,679.971771,2.100006,1.269135,177.679500,.297500,.154500,2.890805,.439069,8.019102
