compute_iters,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,GTAP_thread_daq_med,GTAP_thread_daq_err_low,GTAP_thread_daq_err_high,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_block_cutoff_med,GTAP_block_cutoff_err_low,GTAP_block_cutoff_err_high
64,13.176000,.306000,.140000,22.474000,.021000,.025000,195.433000,.048000,.038000,32.948000,.400000,.142000
128,14.626000,.516000,.220000,23.028500,.028500,.034500,196.340500,.069500,.012500,32.898000,.121000,.134000
256,17.535000,.222000,.168000,24.315500,.027500,.036500,197.981000,.043000,.062000,33.184000,.041000,.023000
512,27.488500,.928500,.648500,27.429500,.051500,.041500,201.684500,.012500,.009500,33.830500,.039500,.037500
1024,48.981500,.894500,2.146500,35.423500,.051500,.047500,209.355500,.049500,.073500,38.193000,.006000,.009000
2048,92.157500,.369500,7.039500,55.094500,.024500,.036500,225.038000,.072000,.017000,60.545000,.004000,.006000
4096,179.577000,.058000,.361000,97.937500,.062500,.035500,258.580500,.055500,.027500,106.351500,.037500,.019500
8192,355.445500,.030500,.389500,185.475000,.018000,.035000,332.031000,.034000,.031000,198.659500,.010500,.013500
16384,707.342000,.094000,.100000,361.718500,.049500,.017500,493.221500,.039500,.050500,383.733500,.023500,.012500
32768,1411.178000,.087000,.024000,714.782500,.068500,.040500,837.993000,.028000,.043000,754.132500,.069500,.027500
