n,GTAP_med,GTAP_err_low,GTAP_err_high,OMP_med,OMP_err_low,OMP_err_high,CILK_med,CILK_err_low,CILK_err_high,DYNASOAR_med,DYNASOAR_err_low,DYNASOAR_err_high,DYNASOAR_cutoff,Speedup_med(OMP/GTAP),Speedup_med(CILK/GTAP),Speedup_med(DYNASOAR/GTAP)
1,.075500,.001500,.002500,1.255500,.016500,.014500,0,0,0,1.969217,.007167,.009409,7,16.629139,0,26.082344
2,.075000,.001000,.002000,1.250500,.023500,.018500,0,0,0,3.421443,.012063,.005921,7,16.673333,0,45.619240
3,.083000,.001000,0,1.271500,.017500,.014500,0,0,0,4.986293,.022991,.014224,7,15.319277,0,60.075819
4,.099000,.002000,.001000,1.310000,.017000,.020000,.001000,0,0,7.840648,.029920,.025824,7,13.232323,.010101,79.198464
5,.109000,.002000,.002000,1.391500,.018500,.027500,.001000,0,0,10.216459,.037376,.058720,7,12.766055,.009174,93.728981
6,.120000,.003000,.002000,1.662500,.047500,.060500,.003000,0,0,14.395710,.118448,.063985,7,13.854166,.025000,119.964250
7,.143500,.005500,.002500,1.906000,.054000,.072000,.009000,0,0,18.464910,.109121,.044640,7,13.282229,.062717,128.675331
8,.159000,.003000,.002000,1.893500,.031500,.054500,.032000,0,0,24.553305,.230481,.135183,7,11.908805,.201257,154.423301
9,.181500,.004500,.003500,1.919000,.059000,.065000,.124500,.002500,.003500,28.386277,.050719,.120481,7,10.573002,.685950,156.398220
10,.210500,.003500,.001500,1.962000,.070000,.116000,.286000,.009000,.032000,34.359007,.168112,.108560,7,9.320665,1.358669,163.225686
11,.249500,.007500,.002500,2.218000,.031000,.064000,.636000,.024000,.030000,41.190664,.189008,.132784,7,8.889779,2.549098,165.092841
12,.336000,.005000,.006000,3.569500,.064500,.088500,2.173000,.045000,.048000,55.245308,.196655,.205936,7,10.623511,6.467261,164.420559
13,.634500,.004500,.007500,10.238500,.314500,.112500,9.407000,.231000,.133000,82.272495,.180988,.184933,7,16.136327,14.825847,129.665082
14,2.376500,.008500,.006500,42.766000,.712000,.985000,44.946000,.999000,.493000,148.140823,.269683,.116791,7,17.995371,18.912686,62.335713
15,14.698500,.157500,.098500,262.377000,5.786000,1.624000,267.841000,3.949000,6.699000,296.758819,.239959,.435608,7,17.850596,18.222335,20.189734
16,100.092000,.430000,.145000,1681.993500,18.809500,39.440500,1704.559500,25.025500,30.536500,716.057007,3.743897,1.070984,7,16.804474,17.029927,7.153988
17,713.553500,.666500,.861500,10999.314500,129.489500,140.677500,11167.448000,309.813000,37.434000,2200.631836,13.727539,566787.118164,7,15.414842,15.650470,3.084046
