compute_iters,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high
64,81.640500,.011500,.016500,6.313500,.014500,.006500
128,82.040500,.038500,.035500,7.873000,.013000,.011000
256,82.743500,.019500,.037500,11.434000,.022000,.015000
512,84.284000,.013000,.011000,19.000000,.028000,.050000
1024,87.319500,.013500,.015500,34.482000,.044000,.061000
2048,93.774500,.013500,.024500,65.789000,.153000,.071000
4096,107.444500,.034500,.039500,128.333500,.311500,.188500
8192,137.343000,.046000,.046000,253.554000,.619000,.784000
16384,202.660500,.047500,.037500,504.567500,1.648500,.741500
32768,340.445500,.053500,.048500,1004.653500,1.710500,1.752500
