n,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high
20,.764000,.005000,.009000,3.231000,.056000,.045000
21,.968500,.003500,.004500,3.430500,.030500,.035500
22,1.529500,.003500,.002500,3.670000,.038000,.034000
23,2.365000,.006000,.004000,4.717500,.079500,.042500
24,3.035500,.003500,.002500,5.228500,.043500,.067500
25,5.611500,.005500,.008500,7.206000,.061000,.096000
26,8.912000,.008000,.006000,9.659000,.106000,.062000
27,11.951500,.006500,.006500,11.745000,.017000,.099000
28,22.267000,.013000,.004000,18.774000,.055000,.035000
29,30.546000,.007000,.003000,24.427500,.147500,.040500
30,45.196000,.009000,.005000,34.074000,.078000,.079000
31,87.297000,.006000,.015000,61.307000,.071000,.091000
32,93.175000,.029000,.010000,65.250000,.086000,.054000
33,177.922500,.098500,.026500,119.790000,.159000,.230000
34,269.164500,.085500,.035500,178.474000,.154000,.146000
