compute_iters,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,OMP_med,OMP_err_low,OMP_err_high
64,22.995000,.014000,.006000,8.180500,.030500,.017500,38.770000,.240000,.244000
128,23.042000,.016000,.013000,8.190500,.027500,.012500,43.639000,.322000,.309000
256,23.120000,.016000,.004000,8.211500,.018500,.019500,54.069000,.395000,.245000
512,23.227000,.032000,.020000,8.275000,.025000,.017000,75.664000,.915000,.431000
1024,23.471000,.013000,.013000,8.448500,.033500,.012500,121.637500,2.956500,1.239500
2048,23.901000,.019000,.010000,8.994500,.016500,.017500,216.859500,7.068500,2.005500
4096,24.831000,.008000,.006000,10.544500,.009500,.034500,412.271500,10.793500,13.517500
8192,26.772500,.009500,.004500,14.168500,.069500,.056500,837.707000,28.478000,30.493000
16384,30.923500,.018500,.012500,22.025500,.200500,.119500,1794.917500,60.140500,80.509500
32768,39.931500,.014500,.003500,38.121000,.440000,.186000,3823.567000,170.071000,269.562000
