compute_iters,GTAP_block_seqmem_med,GTAP_block_seqmem_err_low,GTAP_block_seqmem_err_high,GTAP_thread_seqmem_med,GTAP_thread_seqmem_err_low,GTAP_thread_seqmem_err_high,OMP_seqmem_med,OMP_seqmem_err_low,OMP_seqmem_err_high
64,19.178500,.017500,.002500,2.649000,.013000,.009000,15.567000,.194000,.261000
128,19.210500,.009500,.017500,2.694500,.012500,.006500,17.839000,.147000,.312000
256,19.263000,.009000,.021000,2.795500,.006500,.015500,23.089000,.190000,.132000
512,19.367000,.013000,.028000,2.988500,.007500,.007500,33.293500,.247500,.194500
1024,19.599500,.004500,.007500,3.393500,.016500,.016500,54.767000,.844000,.544000
2048,20.048000,.003000,.009000,4.229500,.010500,.010500,100.601000,1.343000,1.072000
4096,20.963000,.016000,.012000,5.893500,.012500,.008500,197.534500,2.499500,1.457500
8192,22.840500,.027500,.009500,9.263000,.016000,.036000,400.232000,26.408000,14.117000
16384,26.703000,.012000,.007000,16.174500,.094500,.098500,804.111000,28.183000,47.983000
32768,34.834500,.008500,.007500,29.987000,.064000,.157000,1749.156500,108.253500,104.126500
