mem_ops,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,OMP_med,OMP_err_low,OMP_err_high
8,20.281500,.009500,.021500,1.260500,.004500,.004500,30.319500,.311500,.122500
16,20.287000,.015000,.011000,1.495000,.007000,.004000,30.910000,.456000,.169000
32,20.307000,.023000,.006000,1.939000,.006000,.005000,32.890000,.454000,.381000
64,20.353000,.009000,.009000,2.820000,.009000,.004000,35.826500,.133500,.087500
128,21.264500,.021500,.019500,4.608500,.013500,.005500,41.840000,.355000,.579000
256,23.045500,.006500,.018500,8.217500,.040500,.006500,54.333500,.328500,.411500
512,26.668500,.012500,.012500,15.363500,.014500,.013500,79.792500,1.328500,.762500
1024,34.058500,.006500,.007500,29.706000,.068000,.020000,135.976500,2.290500,2.239500
2048,48.697000,.026000,.009000,58.135000,.131000,.182000,251.682500,6.508500,3.687500
4096,77.779500,.042500,.040500,115.405000,.121000,.111000,493.012000,18.017000,12.165000
