mem_ops,GTAP_block_seqmem_med,GTAP_block_seqmem_err_low,GTAP_block_seqmem_err_high,GTAP_thread_seqmem_med,GTAP_thread_seqmem_err_low,GTAP_thread_seqmem_err_high,OMP_seqmem_med,OMP_seqmem_err_low,OMP_seqmem_err_high
8,18.351500,.017500,.011500,1.020000,.006000,.001000,16.820500,.072500,.216500
16,18.310500,.017500,.027500,1.088000,.003000,.009000,17.083500,.105500,.417500
32,18.266500,.020500,.013500,1.214000,.005000,.002000,18.075500,.266500,.360500
64,18.249500,.011500,.010500,1.459500,.010500,.003500,19.283000,.273000,.114000
128,18.601000,.017000,.015000,1.907000,.003000,.010000,20.480500,.056500,.352500
256,19.226500,.021500,.010500,2.793000,.018000,.007000,23.573000,.484000,.234000
512,20.529500,.021500,.005500,4.502000,.017000,.023000,28.855000,.261000,.237000
1024,23.169000,.009000,.021000,7.822000,.017000,.030000,39.462000,.398000,.287000
2048,28.427000,.024000,.015000,14.376000,.032000,.057000,61.303500,.437500,.593500
4096,39.193500,.087500,.042500,27.156500,.070500,.141500,107.999500,1.585500,.879500
8192,61.813000,.102000,.048000,52.457500,.551500,.238500,204.293000,2.711000,3.471000
