n,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,OMP_med,OMP_err_low,OMP_err_high
10,.266500,.003500,.002500,2.082500,.008500,.011500,1.128500,.118500,.102500
11,.303500,.004500,.002500,2.048500,.009500,.010500,1.300000,.065000,.110000
12,.362500,.004500,.004500,2.057500,.012500,.006500,1.571500,.073500,.067500
13,.466000,.004000,.004000,2.095000,.011000,.010000,2.047000,.152000,.093000
14,.658000,.005000,.007000,2.202000,.011000,.007000,2.699000,.070000,.288000
15,1.029000,.004000,.009000,2.360500,.016500,.014500,3.617000,.130000,.105000
16,1.747000,.002000,.004000,2.642500,.007500,.017500,5.541000,.110000,.125000
17,3.179000,.004000,.008000,3.084000,.017000,.020000,8.952500,.199500,.229500
18,6.043000,.010000,.004000,3.888500,.020500,.011500,15.387000,.161000,.506000
19,11.710000,.008000,.014000,5.344500,.011500,.031500,28.357500,.262500,.248500
20,23.109500,.007500,.015500,8.210000,.036000,.022000,54.224500,.243500,.369500
21,45.749000,.028000,.012000,13.757500,.027500,.009500,111.967500,2.255500,.757500
22,91.115500,.013500,.048500,24.746500,.027500,.025500,231.765500,4.591500,2.517500
