n,GTAP_block_seqmem_med,GTAP_block_seqmem_err_low,GTAP_block_seqmem_err_high,GTAP_thread_seqmem_med,GTAP_thread_seqmem_err_low,GTAP_thread_seqmem_err_high,OMP_seqmem_med,OMP_seqmem_err_low,OMP_seqmem_err_high
10,.237500,.003500,.004500,1.008500,.004500,.008500,1.023000,.054000,.053000
11,.274500,.003500,.003500,1.124500,.012500,.005500,1.176500,.080500,.031500
12,.318500,.002500,.006500,1.093000,.005000,.002000,1.444000,.097000,.059000
13,.410500,.002500,.006500,1.173500,.013500,.005500,1.637000,.133000,.074000
14,.568500,.004500,.003500,1.233500,.006500,.002500,1.926000,.107000,.075000
15,.874000,.005000,.003000,1.305000,.003000,.007000,2.483500,.067500,.123500
16,1.482000,.008000,.005000,1.396000,.012000,.002000,3.352500,.148500,.218500
17,2.674000,.008000,.002000,1.529500,.006500,.017500,4.964000,.308000,.099000
18,5.039000,.006000,.004000,1.749000,.020000,.010000,7.639500,.269500,.120500
19,9.783500,.007500,.016500,2.117000,.018000,.011000,12.895500,.272500,.166500
20,19.220000,.014000,.015000,2.790500,.016500,.010500,23.581000,.427000,.107000
21,38.126500,.020500,.034500,4.092500,.016500,.009500,45.895000,.576000,.245000
22,75.963000,.023000,.029000,6.598500,.025500,.017500,93.664000,1.429000,1.445000
