benchmark,variant,queues,input,cutoff,kernel_name,metric_name,metric_unit,metric_value,raw_csv
cilksort,queue_1,1,100000000,64,init_warp_id_pools_metadata(),gpu__time_duration.sum,,9248,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,init_warp_id_pools_metadata(),smsp__inst_executed.sum,,64000,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,init_warp_id_pools_metadata(),smsp__thread_inst_executed.sum,,2048000,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,init_warp_id_pools_metadata(),smsp__thread_inst_executed_per_inst_executed.ratio,,32,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,my_kernel(int),gpu__time_duration.sum,,105919584,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,my_kernel(int),smsp__inst_executed.sum,,11696326230,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,my_kernel(int),smsp__thread_inst_executed.sum,,174268546415,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_1,1,100000000,64,my_kernel(int),smsp__thread_inst_executed_per_inst_executed.ratio,,14.90,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_1_input100000000_cutoff64.csv
cilksort,queue_3,3,100000000,64,init_warp_id_pools_metadata(),gpu__time_duration.sum,,8992,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_3_input100000000_cutoff64.csv
cilksort,queue_3,3,100000000,64,init_warp_id_pools_metadata(),smsp__inst_executed.sum,,64000,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_3_input100000000_cutoff64.csv
cilksort,queue_3,3,100000000,64,init_warp_id_pools_metadata(),smsp__thread_inst_executed.sum,,2048000,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_3_input100000000_cutoff64.csv
cilksort,queue_3,3,100000000,64,init_warp_id_pools_metadata(),smsp__thread_inst_executed_per_inst_executed.ratio,,32,/work/gc64/c64099/gtap/evaluation/3-epaq/ncu_warp_efficiency/raw/cilksort_queue_3_input100000000_cutoff64.csv
