cutoff,1queue_med,1queue_err_low,1queue_err_high,3queue_med,3queue_err_low,3queue_err_high,Speedup_1queue/3queue
2,93.265500,.040500,.064500,96.200000,.081000,.102000,.969495
3,67.133500,.113500,.097500,64.261000,.036000,.048000,1.044700
4,48.228500,.047500,.072500,41.587500,.047500,.064500,1.159687
5,35.254000,.023000,.010000,27.094000,.042000,.025000,1.301173
6,25.885500,.045500,.041500,17.747000,.022000,.024000,1.458584
7,19.227500,.070500,.018500,11.833500,.017500,.021500,1.624836
8,14.199000,.031000,.034000,8.143500,.031500,.017500,1.743599
9,10.592000,.015000,.010000,5.884000,.019000,.027000,1.800135
10,8.194500,.018500,.017500,4.546000,.016000,.021000,1.802573
11,6.913000,.012000,.010000,3.811500,.015500,.013500,1.813721
12,6.292500,.012500,.007500,3.434000,.009000,.021000,1.832411
13,5.934500,.011500,.024500,3.281500,.008500,.032500,1.808471
14,5.682500,.034500,.018500,3.287500,.024500,.024500,1.728517
15,5.873500,.049500,.023500,3.373000,.018000,.022000,1.741328
16,6.406000,.112000,.036000,3.503000,.010000,.018000,1.828718
17,9.412000,.197000,.214000,5.477000,.033000,.047000,1.718459
18,9.955500,.279500,.152500,5.040500,.022500,.037500,1.975101
