cutoff,1queue_med,1queue_err_low,1queue_err_high,3queue_med,3queue_err_low,3queue_err_high,Speedup_1queue/3queue
2,96.766000,.135000,.193000,103.738000,.067000,.025000,.932792
3,69.567000,.058000,.201000,67.904500,.072500,.076500,1.024482
4,49.806500,.175500,.052500,43.713000,.031000,.028000,1.139397
5,36.274000,.026000,.034000,28.358500,.011500,.019500,1.279122
6,26.908000,.053000,.014000,18.513500,.015500,.017500,1.453425
7,20.059500,.023500,.041500,12.342500,.019500,.037500,1.625237
8,14.981500,.006500,.017500,8.497000,.016000,.023000,1.763151
9,11.205000,.009000,.009000,6.137500,.020500,.009500,1.825661
10,8.660000,.014000,.011000,4.766500,.027500,.005500,1.816846
11,7.297000,.019000,.015000,4.023000,.009000,.020000,1.813820
12,6.652000,.013000,.014000,3.649500,.016500,.024500,1.822715
13,6.267500,.036500,.019500,3.492000,.025000,.014000,1.794816
14,6.052500,.029500,.024500,3.443000,.029000,.011000,1.757914
15,6.102500,.043500,.013500,3.482000,.023000,.010000,1.752584
16,6.493500,.079500,.047500,3.538000,.015000,.022000,1.835358
17,9.609000,.119000,.095000,5.461500,.035500,.036500,1.759406
18,10.160500,.269500,.221500,5.068500,.048500,.016500,2.004636
