block_size,total_threads,grid_size,max_tasks_per_warp,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high,chaselev_med,chaselev_err_low,chaselev_err_high
32,1024,32,14400000,451.955000,2.392000,1.852000,464.803000,10.631000,3.133000,535.164500,3.503500,2.197500
32,2048,64,7200000,213.947000,.846000,1.110000,234.794000,2.136000,3.808000,268.650500,2.438500,1.019500
32,4096,128,3600000,100.289000,.390000,.484000,127.200500,.867500,.397500,134.555500,.659500,1.264500
32,8192,256,1800000,48.388500,.351500,.378500,84.398500,.500500,.234500,69.976000,.458000,.390000
32,16384,512,900000,26.364500,.277500,.039500,79.572500,.945500,.472500,39.670000,.384000,.140000
32,32768,1024,450000,18.522500,.040500,.187500,118.661500,2.585500,1.288500,26.219500,.146500,.071500
32,65536,2048,225000,17.437500,.079500,.271500,220.151500,2.055500,.951500,21.698000,.099000,.048000
32,131072,4096,112500,18.321500,.099500,.230500,367.925000,4.085000,2.249000,20.903000,.061000,.072000
32,262144,8192,56250,18.457500,.147500,.219500,379.051000,6.848000,3.421000,21.909000,.082000,.101000
64,1024,16,14400000,453.636000,2.886000,2.077000,478.652500,4.659500,1.267500,539.497500,3.784500,3.309500
64,2048,32,7200000,216.827500,.800500,1.031500,241.938000,1.697000,.684000,272.968000,3.057000,1.330000
64,4096,64,3600000,101.450500,.253500,.223500,127.620000,1.030000,.366000,137.599500,.917500,.452500
64,8192,128,1800000,48.361500,.243500,.238500,83.895000,.233000,.483000,70.078000,.489000,.152000
64,16384,256,900000,26.613000,.325000,.295000,79.367000,.525000,.929000,39.630500,.124500,.177500
64,32768,512,450000,18.685500,.266500,.257500,120.257000,1.129000,1.259000,26.411000,.193000,.049000
64,65536,1024,225000,17.694000,.123000,.081000,221.815500,1.752500,.842500,21.782000,.041000,.050000
64,131072,2048,112500,18.515000,.157000,.034000,375.507500,2.489500,2.230500,21.140500,.059500,.120500
64,262144,4096,56250,20.229500,.371500,.275500,507.326500,1.823500,3.305500,22.507000,.072000,.066000
128,1024,8,14400000,469.234000,3.710000,2.431000,488.546000,4.602000,2.995000,554.550000,3.450000,3.301000
128,2048,16,7200000,221.056000,.866000,.460000,243.462500,2.409500,.733500,279.261500,1.269500,.794500
128,4096,32,3600000,105.474000,.695000,.230000,131.548000,.379000,.332000,142.360500,1.156500,.437500
128,8192,64,1800000,50.260000,.245000,.168000,86.888000,.667000,.245000,72.740000,.361000,.411000
128,16384,128,900000,26.445500,.181500,.153500,79.478000,.333000,.452000,39.480000,.206000,.206000
128,32768,256,450000,18.659000,.189000,.153000,121.983500,4.261500,3.361500,26.266500,.130500,.099500
128,65536,512,225000,17.742500,.242500,.090500,225.720500,2.491500,4.727500,21.711000,.034000,.090000
128,131072,1024,112500,18.433500,.098500,.091500,370.031500,3.185500,1.849500,21.192500,.066500,.040500
128,262144,2048,56250,20.269000,.552000,.154000,517.699000,2.485000,2.467000,22.424500,.087500,.059500
256,1024,4,14400000,507.878000,1.366000,1.563000,511.963000,3.885000,4.345000,601.004000,3.097000,2.117000
256,2048,8,7200000,241.379500,1.048500,.786500,257.224500,2.394500,.385500,301.982500,1.675500,2.086500
256,4096,16,3600000,116.026000,.908000,.384000,139.739000,.467000,.852000,152.711000,.992000,.930000
256,8192,32,1800000,56.469000,.282000,.249000,93.997500,.781500,.933500,79.258500,.266500,.257500
256,16384,64,900000,29.495000,.185000,.103000,86.364500,.566500,.718500,42.845000,.175000,.077000
256,32768,128,450000,18.836000,.215000,.099000,122.388500,4.026500,3.102500,26.347500,.090500,.119500
256,65536,256,225000,17.738000,.123000,.140000,227.330500,2.351500,1.490500,21.821000,.048000,.066000
256,131072,512,112500,18.512500,.131500,.137500,374.305000,4.067000,3.143000,21.184500,.042500,.092500
256,262144,1024,56250,20.291000,.394000,.168000,516.805000,4.481000,2.284000,22.467500,.056500,.054500
