block_size,total_workers,grid_size,max_tasks_per_block,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high
32,16,16,1600000,2522.751500,2.358500,3.852500,2470.711500,.453500,14.519500
32,32,32,800000,1273.199500,2.605500,1.607500,1312.638000,.515000,.330000
32,64,64,400000,632.938000,.575000,.330000,911.844000,11.622000,.295000
32,128,128,200000,316.017000,.143000,.118000,817.742000,.099000,.070000
32,256,256,100000,159.184500,.044500,.070500,792.096500,.205500,.085500
32,512,512,50000,81.517000,.029000,.041000,885.809500,13.114500,1.426500
32,1024,1024,25000,43.008500,.028500,.010500,1619.097500,65.882500,.076500
32,2048,2048,12500,25.200500,.006500,.006500,2553.860500,.406500,165.731500
32,4096,4096,6250,20.875000,.008000,.021000,4573.272000,.359000,.141000
32,8192,8192,3125,20.776500,.025500,.038500,0,0,0
64,16,16,1600000,1721.531000,3.848000,.886000,1743.345500,.367500,.448500
64,32,32,800000,869.066500,.975500,.246500,1076.033000,.157000,.235000
64,64,64,400000,431.948500,.214500,.247500,834.320500,.230500,.165500
64,128,128,200000,215.726000,.040000,.037000,810.764000,17.235000,.153000
64,256,256,100000,111.868000,.047000,.118000,829.196000,.037000,.074000
64,512,512,50000,59.562500,.019500,.017500,954.366000,.127000,.078000
64,1024,1024,25000,33.568500,.008500,.012500,1577.563500,34.636500,34.285500
64,2048,2048,12500,24.010500,.009500,.004500,2657.286500,.460500,.185500
64,4096,4096,6250,21.282000,.013000,.012000,3889.443000,.274000,.239000
128,16,16,1600000,1363.748500,2.852500,1.761500,1399.034000,.603000,.097000
128,32,32,800000,687.750000,.928000,.696000,964.879000,.095000,.159000
128,64,64,400000,342.096500,.414500,.164500,816.922500,.093500,.039500
128,128,128,200000,170.362000,.139000,.104000,795.857500,.141500,.048500
128,256,256,100000,90.472500,.063500,.068500,803.583500,.420500,.083500
128,512,512,50000,50.393000,.015000,.022000,959.429000,.125000,.078000
128,1024,1024,25000,30.697500,.010500,.014500,1596.288500,.067500,.098500
128,2048,2048,12500,25.957500,.054500,.009500,2281.189000,.124000,.123000
256,16,16,1600000,1233.228500,1.757500,2.126500,1293.992000,.962000,.993000
256,32,32,800000,620.226000,1.074000,1.094000,954.011000,.291000,.164000
256,64,64,400000,308.928500,.171500,.483500,818.638500,.260500,.040500
256,128,128,200000,154.053500,.032500,.090500,792.689000,.196000,.162000
256,256,256,100000,84.729000,.081000,.080000,797.668000,.139000,.033000
256,512,512,50000,50.267000,.010000,.013000,920.750500,.071500,.064500
256,1024,1024,25000,38.131500,.012500,.007500,1320.816500,.174500,.112500
